p0,p1
324.326|156.662,181.282|-200
392.265|-55.0839,361.892|117.435
222.507|-198.73,-396.44|-37.5659
-369.093|106.806,373.449|99.5767
34.4946|-200,118.668|-200
387.858|68.6256,-220.615|198.935
-397.899|28.9155,-378.22|-90.7612
237.734|-196.408,290.248|-178.48
389.845|-62.9204,399.105|18.8974
347.57|134.992,255.06|192.272
136.977|200,-398.539|-24.1317
-396.877|35.2059,381.071|-84.9308
-89.5958|-200,103.971|200
347.768|134.776,-271.996|-186.592
38.8755|-200,-284.86|181.105
38.8755|-200,141.516|-200
38.8755|-200,397.867|29.1322
-303.542|171.111,32.1059|200
-170.954|-200,-399.991|-1.85724
-28.0447|200,45.5505|-200
-28.0447|200,394.962|-44.6088
-28.0447|200,187.897|200
114.865|-200,-150.709|-200
114.865|-200,-384.784|76.516
114.865|-200,345.359|137.371
255.017|192.284,301.857|-172.119
169.673|-200,-380.302|86.5507
82.6501|200,105.805|-200
-4.37287|-200,105.805|-200
-91.3958|200,105.805|-200
-178.419|-200,398.07|-27.7152
-263.211|189.748,181.594|200
-84.9734|-200,-198.663|-200
97.9529|200,-399.672|11.4451
274.328|-185.675,-174.069|200
141.09|200,-174.069|200
2.90263|-200,-174.069|200
-135.285|200,282.964|-181.981
-135.285|200,289.862|178.675
-135.285|200,-200.139|-200
-269.204|-187.646,-393.642|-50.0295
-117.056|200,-297|174.903
39.9401|-200,387.397|69.8751
196.936|200,157.9|-200
333.785|-148.666,-182.251|200
-292.981|177.072,-393.926|-48.9172
-333.734|-148.712,-6.57992|-200
398.663|23.0871,-6.57992|-200
-398.752|22.3046,-6.57992|-200
337.009|-145.7,395.265|-43.2618
283.12|181.909,162.74|200
-297.593|-174.573,-218.762|-199.118
-297.847|174.43,-389.404|64.2338
283.93|-181.537,-7.93663|200
335.48|147.123,-7.93663|200
-397.634|-30.6747,-7.93663|200
398.41|25.1658,391.449|57.8569
-363.438|-115.274,198.695|-200
-181.021|200,-100.313|200
-181.021|200,-100.313|200
-181.021|200,-100.313|200
50.4194|-200,-349.297|-133.08
273.713|185.92,220.98|198.897
183.192|-200,395.967|39.9612
89.3678|200,297.184|-174.801
-4.45604|-200,-378.616|-89.9805
-98.2799|200,-215.761|199.378
